"TABLE_NAME","COLUMN_NAME","DATA_TYPE"
"ACTB_HISTORY","TRN_REF_NO","VARCHAR2"
"ACTB_HISTORY","EVENT_SR_NO","NUMBER"
"ACTB_HISTORY","EVENT","VARCHAR2"
"ACTB_HISTORY","AC_BRANCH","VARCHAR2"
"ACTB_HISTORY","AC_NO","VARCHAR2"
"ACTB_HISTORY","AC_CCY","VARCHAR2"
"ACTB_HISTORY","DRCR_IND","CHAR"
"ACTB_HISTORY","TRN_CODE","VARCHAR2"
"ACTB_HISTORY","AMOUNT_TAG","VARCHAR2"
"ACTB_HISTORY","FCY_AMOUNT","NUMBER"
"ACTB_HISTORY","EXCH_RATE","NUMBER"
"ACTB_HISTORY","LCY_AMOUNT","NUMBER"
"ACTB_HISTORY","RELATED_CUSTOMER","VARCHAR2"
"ACTB_HISTORY","RELATED_ACCOUNT","VARCHAR2"
"ACTB_HISTORY","RELATED_REFERENCE","VARCHAR2"
"ACTB_HISTORY","MIS_FLAG","CHAR"
"ACTB_HISTORY","MIS_HEAD","VARCHAR2"
"ACTB_HISTORY","TRN_DT","DATE"
"ACTB_HISTORY","VALUE_DT","DATE"
"ACTB_HISTORY","TXN_INIT_DATE","DATE"
"ACTB_HISTORY","FINANCIAL_CYCLE","VARCHAR2"
"ACTB_HISTORY","PERIOD_CODE","VARCHAR2"
"ACTB_HISTORY","INSTRUMENT_CODE","VARCHAR2"
"ACTB_HISTORY","BANK_CODE","VARCHAR2"
"ACTB_HISTORY","TYPE","CHAR"
"ACTB_HISTORY","CATEGORY","CHAR"
"ACTB_HISTORY","CUST_GL","CHAR"
"ACTB_HISTORY","MODULE","VARCHAR2"
"ACTB_HISTORY","AC_ENTRY_SR_NO","NUMBER"
"ACTB_HISTORY","IB","CHAR"
"ACTB_HISTORY","FLG_POSITION_STATUS","CHAR"
"ACTB_HISTORY","GLMIS_UPDATE_FLAG","CHAR"
"ACTB_HISTORY","USER_ID","VARCHAR2"
"ACTB_HISTORY","CURR_NO","NUMBER"
"ACTB_HISTORY","BATCH_NO","VARCHAR2"
"ACTB_HISTORY","PRINT_STAT","CHAR"
"ACTB_HISTORY","PRODUCT_ACCRUAL","VARCHAR2"
"ACTB_HISTORY","AUTH_ID","VARCHAR2"
"ACTB_HISTORY","PRODUCT","VARCHAR2"
"ACTB_HISTORY","GLMIS_VAL_UPD_FLAG","CHAR"
"ACTB_HISTORY","EXTERNAL_REF_NO","VARCHAR2"
"ACTB_HISTORY","DONT_SHOWIN_STMT","CHAR"
"ACTB_HISTORY","IC_BAL_INCLUSION","CHAR"
"ACTB_HISTORY","AML_EXCEPTION","VARCHAR2"
"ACTB_HISTORY","ORIG_PNL_GL","VARCHAR2"
"ACTB_HISTORY","STMT_DT","DATE"
"ACTB_HISTORY","ENTRY_SEQ_NO","NUMBER"
"STTB_ACCOUNT","AC_STAT_DORMANT","CHAR"
"STTB_ACCOUNT","AC_STAT_FROZEN","CHAR"
"STTB_ACCOUNT","GL_STAT_DE_POST","CHAR"
"STTB_ACCOUNT","GL_BRANCH_RES","CHAR"
"STTB_ACCOUNT","GL_CCY_RES","CHAR"
"STTB_ACCOUNT","ALT_AC_NO","VARCHAR2"
"STTB_ACCOUNT","CUST_NAME1","VARCHAR2"
"STTB_ACCOUNT","GL_CATEGORY","CHAR"
"STTB_ACCOUNT","RECON_TYPE","CHAR"
"STTB_ACCOUNT","AC_CLASS","VARCHAR2"
"STTB_ACCOUNT","AC_NATURAL_GL","VARCHAR2"
"STTB_ACCOUNT","CUSTOMER_CAT","VARCHAR2"
"STTB_ACCOUNT","OFFLINE_LIMIT","NUMBER"
"STTB_ACCOUNT","AC_GL_REC_STATUS","CHAR"
"STTB_ACCOUNT","AC_OPEN_DATE","DATE"
"STTB_ACCOUNT","AUTH_STAT","CHAR"
"STTB_ACCOUNT","NATIVE","VARCHAR2"
"STTB_ACCOUNT","AC_NATIVE","VARCHAR2"
"STTB_ACCOUNT","IBAN_AC_NO","VARCHAR2"
"STTB_ACCOUNT","DORMANT_PARAM","VARCHAR2"
"STTB_ACCOUNT","ONCE_AUTH","VARCHAR2"
"STTB_ACCOUNT","DEFAULT_WAIVER","VARCHAR2"
"STTB_ACCOUNT","AC_GL_NO","VARCHAR2"
"STTB_ACCOUNT","PKEY","VARCHAR2"
"STTB_ACCOUNT","BRANCH_CODE","VARCHAR2"
"STTB_ACCOUNT","AC_GL_CCY","VARCHAR2"
"STTB_ACCOUNT","AC_OR_GL","CHAR"
"STTB_ACCOUNT","CUST_NO","VARCHAR2"
"STTB_ACCOUNT","GL_ACLASS_TYPE","CHAR"
"STTB_ACCOUNT","AC_GL_DESC","VARCHAR2"
"STTB_ACCOUNT","AC_STAT_NO_CR","CHAR"
"STTB_ACCOUNT","AC_STAT_NO_DR","CHAR"
"STTB_ACCOUNT","GL_STAT_BLOCKED","CHAR"
"STTB_ACCOUNT","AC_STAT_STOP_PAY","CHAR"
"STTM_CUST_PERSONAL","CUSTOMER_PREFIX","VARCHAR2"
"STTM_CUST_PERSONAL","FIRST_NAME","VARCHAR2"
"STTM_CUST_PERSONAL","MIDDLE_NAME","VARCHAR2"
"STTM_CUST_PERSONAL","LAST_NAME","VARCHAR2"
"STTM_CUST_PERSONAL","DATE_OF_BIRTH","DATE"
"STTM_CUST_PERSONAL","LEGAL_GUARDIAN","VARCHAR2"
"STTM_CUST_PERSONAL","MINOR","CHAR"
"STTM_CUST_PERSONAL","SEX","CHAR"
"STTM_CUST_PERSONAL","P_NATIONAL_ID","VARCHAR2"
"STTM_CUST_PERSONAL","PASSPORT_NO","VARCHAR2"
"STTM_CUST_PERSONAL","PPT_ISS_DATE","DATE"
"STTM_CUST_PERSONAL","PPT_EXP_DATE","DATE"
"STTM_CUST_PERSONAL","D_ADDRESS1","VARCHAR2"
"STTM_CUST_PERSONAL","D_ADDRESS2","VARCHAR2"
"STTM_CUST_PERSONAL","D_ADDRESS3","VARCHAR2"
"STTM_CUST_PERSONAL","TELEPHONE","VARCHAR2"
"STTM_CUST_PERSONAL","FAX","VARCHAR2"
"STTM_CUST_PERSONAL","E_MAIL","VARCHAR2"
"STTM_CUST_PERSONAL","P_ADDRESS1","VARCHAR2"
"STTM_CUST_PERSONAL","P_ADDRESS3","VARCHAR2"
"STTM_CUST_PERSONAL","P_ADDRESS2","VARCHAR2"
"STTM_CUST_PERSONAL","CUSTOMER_NO","VARCHAR2"
"STTM_CUST_PERSONAL","D_COUNTRY","VARCHAR2"
"STTM_CUST_PERSONAL","P_COUNTRY","VARCHAR2"
"STTM_CUST_PERSONAL","RESIDENT_STATUS","CHAR"
"STTM_CUST_PERSONAL","CUSTOMER_PREFIX1","VARCHAR2"
"STTM_CUST_PERSONAL","CUSTOMER_PREFIX2","VARCHAR2"
"STTM_CUST_PERSONAL","MOBILE_NUMBER","VARCHAR2"
"STTM_CUST_PERSONAL","AGE_PROOF_SUBMITTED","VARCHAR2"
"STTM_CUST_PERSONAL","CUST_COMM_MODE","VARCHAR2"
"STTM_CUST_PERSONAL","P_ADDRESS4","VARCHAR2"
"STTM_CUST_PERSONAL","D_ADDRESS4","VARCHAR2"
"STTM_CUST_PERSONAL","PLACE_OF_BIRTH","VARCHAR2"
"STTM_CUST_PERSONAL","BIRTH_COUNTRY","VARCHAR2"
"STTM_CUST_PERSONAL","TEL_ISD_NO","NUMBER"
"STTM_CUST_PERSONAL","MOB_ISD_NO","NUMBER"
"STTM_CUST_PERSONAL","FAX_ISD_NO","NUMBER"
"STTM_CUST_PERSONAL","US_RES_STATUS","VARCHAR2"
"STTM_CUST_PERSONAL","PA_ISSUED","VARCHAR2"
"STTM_CUST_PERSONAL","PA_HOLDER_NAME","VARCHAR2"
"STTM_CUST_PERSONAL","PA_HOLDER_NATIONALTY","VARCHAR2"
"STTM_CUST_PERSONAL","PA_HOLDER_ADDR","VARCHAR2"
"STTM_CUST_PERSONAL","PA_HOLDER_ADDR_COUNTRY","VARCHAR2"
"STTM_CUST_PERSONAL","PA_HOLDER_TEL_ISD","NUMBER"
"STTM_CUST_PERSONAL","PA_HOLDER_TEL_NO","VARCHAR2"
"STTM_CUST_PERSONAL","VST_US_PREV","VARCHAR2"
"STTM_CUST_PERSONAL","HOME_TEL_NO","VARCHAR2"
"STTM_CUST_PERSONAL","HOME_TEL_ISD","NUMBER"
"STTM_CUST_PERSONAL","P_PINCODE","VARCHAR2"
"STTM_CUST_PERSONAL","PREF_CONTACT_DT","DATE"
"STTM_CUST_PERSONAL","PREF_CONTACT_TIME","NUMBER"
"STTM_CUST_PERSONAL","D_PINCODE","VARCHAR2"
"STTM_CUST_ACCOUNT","INTERIM_REPORT_SINCE","VARCHAR2"
